time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-19T13:15:01.280Z,41.3852,-100.238,5,3.3,mb_lg,,61,1.369,0.97,us,us1000dnku,2018-04-19T13:35:21.432Z,"25km ESE of Stapleton, Nebraska",earthquake,4.3,2,0.045,128,reviewed,us,us
2018-04-19T10:32:43.850Z,36.0334,-97.9092,5,2.8,mb_lg,,41,0.101,0.19,us,us1000dnjq,2018-04-19T13:03:52.624Z,"8km S of Hennessey, Oklahoma",earthquake,0.9,2,0.062,90,reviewed,us,us
2018-04-19T07:20:05.340Z,36.031,-97.905,4.08,3.2,mb_lg,,23,0.102,0.18,us,us1000dnhf,2018-04-19T11:44:31.218Z,"8km S of Hennessey, Oklahoma",earthquake,1.2,3.8,0.046,125,reviewed,us,us
2018-04-19T06:36:34.690Z,36.4368,-98.7875,5,3.8,mb_lg,,110,0.055,0.22,us,us1000dngm,2018-04-19T08:37:26.766Z,"33km NW of Fairview, Oklahoma",earthquake,1.3,1.6,0.045,129,reviewed,us,us
2018-04-18T22:00:13.630Z,39.5388333,-121.4936667,-0.2,2.5,mh,10,95,0.01649,0.11,nc,nc73001046,2018-04-19T10:47:51.375Z,"3km NNW of Oroville East, CA",chemical explosion,0.42,31.61,,0,reviewed,nc,nc
2018-04-18T01:09:44.450Z,40.3486667,-124.8125,15.88,2.51,md,35,251,0.3842,0.16,nc,nc73000616,2018-04-19T03:03:03.383Z,"45km W of Petrolia, CA",earthquake,0.76,0.66,0.18,31,reviewed,nc,nc
2018-04-17T23:05:48.090Z,38.022,-97.9838,5,2.9,mb_lg,,149,0.698,0.44,us,us2000e1vx,2018-04-18T11:51:48.461Z,"3km W of South Hutchinson, Kansas",earthquake,1.9,2,0.061,69,reviewed,us,us
2018-04-17T17:17:14.400Z,36.6987,-98.4298,7.208,2.8,ml,,80,,0.54,us,us2000e1r3,2018-04-18T17:46:26.040Z,"8km SW of Cherokee, Oklahoma",earthquake,1.1,3.9,,,reviewed,tul,tul
2018-04-17T17:12:30.800Z,36.7003,-98.4336,6.711,2.8,ml,,81,,0.34,us,us2000e1pp,2018-04-18T15:52:09.040Z,"9km SW of Cherokee, Oklahoma",earthquake,1.3,4.3,,,reviewed,tul,tul
2018-04-17T16:41:13.885Z,38.2821,-118.6586,7,2.7,ml,45,45.13,0.125,0.1737,nn,nn00630673,2018-04-18T17:53:03.025Z,"27km S of Hawthorne, Nevada",earthquake,,1.2,0.36,12,reviewed,nn,nn
2018-04-17T11:41:22.020Z,46.8988333,-112.5228333,11.37,2.67,ml,17,110,0.175,0.16,mb,mb80290239,2018-04-17T17:04:31.964Z,"13km ESE of Lincoln, Montana",earthquake,0.51,0.76,0.27,5,reviewed,mb,mb
2018-04-17T11:11:14.360Z,46.886,-112.5818,15.84,3.8,mwr,,54,0.217,0.62,us,us2000e1ga,2018-04-19T06:24:25.182Z,"10km SE of Lincoln, Montana",earthquake,4.1,10.4,0.083,14,reviewed,us,us
2018-04-17T08:57:59.390Z,35.7846,-98.5699,7.21,3,mb_lg,,48,0.169,0.42,us,us2000e1ev,2018-04-17T20:27:37.152Z,"15km WSW of Watonga, Oklahoma",earthquake,1.5,1.3,0.058,78,reviewed,us,us
2018-04-16T23:31:57.370Z,33.4811667,-116.7751667,6.69,2.68,ml,118,13,0.08977,0.23,ci,ci38149896,2018-04-17T06:52:20.556Z,"9km ENE of Aguanga, CA",earthquake,0.11,0.37,0.153,140,reviewed,ci,ci
2018-04-16T21:48:47.190Z,41.3475,-100.1293,5,3.1,mb_lg,,60,1.38,0.58,us,us2000e17f,2018-04-17T21:12:49.537Z,"35km ESE of Stapleton, Nebraska",earthquake,5.9,2,0.063,66,reviewed,us,us
2018-04-16T16:39:26.470Z,37.4346667,-121.773,9.31,3.82,mw,216,31,0.02682,0.12,nc,nc73000196,2018-04-19T06:39:40.769Z,"9km NNE of Alum Rock, CA",earthquake,0.07,0.16,,6,reviewed,nc,nc
2018-04-16T16:36:48.880Z,35.0435,-119.0423333,7.73,3.78,mw,69,41,0.1478,0.31,ci,ci38149752,2018-04-17T13:39:23.589Z,"15km NW of Grapevine, CA",earthquake,0.22,0.96,,4,reviewed,ci,ci
2018-04-16T07:54:59.230Z,30.47,-104.4836,5,2.8,ml,,160,0.736,0.64,us,us2000e0ud,2018-04-16T08:10:31.040Z,"48km WNW of Marfa, Texas",earthquake,1.9,2,0.128,28,reviewed,us,us
2018-04-15T23:39:02.900Z,41.3643,-100.1228,5,2.6,mb_lg,,61,1.363,0.53,us,us2000e0rt,2018-04-17T07:58:05.399Z,"35km ESE of Stapleton, Nebraska",earthquake,5,2,0.106,23,reviewed,us,us
2018-04-15T05:00:35.410Z,36.2976,-97.538,5,2.5,ml,,34,0.208,0.18,us,us2000e0ib,2018-04-16T14:14:07.076Z,"22km W of Perry, Oklahoma",earthquake,0.6,1.7,0.046,63,reviewed,us,us
2018-04-15T03:45:41.250Z,44.9455,-122.7558333,18.38,3.08,ml,36,41,0.1508,0.23,uw,uw61363027,2018-04-16T19:50:30.752Z,"6km SW of Silverton, Oregon",earthquake,0.33,1.1,0.172,24,reviewed,uw,uw
2018-04-14T18:53:58.841Z,41.8938,-119.6299,0,2.8,ml,8,77.64,0.635,0.2398,nn,nn00630412,2018-04-17T15:33:08.040Z,"67km ESE of Lakeview, Oregon",earthquake,,0,0.19,4,reviewed,nn,nn
2018-04-14T17:15:29.540Z,46.7996,-112.5574,12.21,2.5,ml,,96,0.25,0.78,us,us2000e0ku,2018-04-17T13:42:29.349Z,"19km SSE of Lincoln, Montana",earthquake,4.9,6.7,0.064,32,reviewed,us,us
2018-04-14T09:37:01.100Z,34.9887,-97.577,5,2.5,mb_lg,,104,0.304,0.42,us,us2000e05j,2018-04-15T07:43:28.072Z,"17km N of Lindsay, Oklahoma",earthquake,1.5,1.8,0.142,13,reviewed,us,us
2018-04-14T04:31:19.640Z,36.6566,-99.0289,3.48,2.6,mb_lg,,193,0.261,0.24,us,us2000e03b,2018-04-14T05:43:48.275Z,"28km NNE of Mooreland, Oklahoma",earthquake,1.8,3.1,0.078,43,reviewed,us,us
2018-04-14T02:46:34.680Z,38.031,-97.9731,1.65,3.2,mb_lg,,74,0.7,0.39,us,us2000e02p,2018-04-17T23:31:10.555Z,"2km W of South Hutchinson, Kansas",earthquake,2.8,7.8,0.044,134,reviewed,us,us
2018-04-13T21:40:45.600Z,36.5279,-98.9654,4.473,2.6,ml,,75,,1,us,us2000dzym,2018-04-16T22:43:53.040Z,"23km ENE of Mooreland, Oklahoma",earthquake,1.9,2.7,,,reviewed,tul,tul
2018-04-13T15:24:46.040Z,35.392,-118.5445,4.77,3.69,mw,89,31,0.1426,0.16,ci,ci38148312,2018-04-16T22:18:44.468Z,"22km SSW of Bodfish, CA",earthquake,0.12,0.59,,4,reviewed,ci,ci
2018-04-13T02:47:50.710Z,34.8525,-116.3971667,1.12,3.29,ml,69,67,0.05609,0.17,ci,ci38148144,2018-04-18T06:54:58.313Z,"26km NW of Ludlow, CA",earthquake,0.1,0.21,0.159,296,reviewed,ci,ci
2018-04-13T00:11:07.400Z,44.8089,-112.35,10,3.5,ml,,58,0.598,0.58,us,us2000dzal,2018-04-17T14:02:17.166Z,"27km NE of Lima, Montana",earthquake,3.2,2,0.048,58,reviewed,us,us
2018-04-12T23:56:07.100Z,36.8273,-97.7737,5.952,2.9,ml,,33,,0.36,us,us2000dza6,2018-04-16T23:48:18.611Z,"4km WNW of Medford, Oklahoma",earthquake,1.1,1.2,,,reviewed,tul,tul
2018-04-12T10:53:12.410Z,33.8596667,-118.2881667,14.53,2.5,ml,92,50,0.03716,0.24,ci,ci38147936,2018-04-17T14:16:35.894Z,"3km N of Carson, CA",earthquake,0.18,0.35,0.261,26,reviewed,ci,ci
2018-04-12T08:25:34.090Z,38.774334,-122.7436676,0.38,2.51,md,33,77,0.01042,0.06,nc,nc72998646,2018-04-14T08:39:36.809Z,"1km ESE of The Geysers, CA",earthquake,0.22,0.31,0.21,12,automatic,nc,nc
2018-04-12T06:39:58.780Z,46.937,-121.9645,12,2.99,ml,49,76,0.009708,0.16,uw,uw61362202,2018-04-17T17:29:12.610Z,"23km ENE of Eatonville, Washington",earthquake,0.2,0.51,0.207,33,reviewed,uw,uw
2018-04-12T06:24:40.590Z,38.7910004,-122.4421692,6.84,2.53,md,26,93,0.01537,0.16,nc,nc72998601,2018-04-16T17:15:38.007Z,"10km E of Hidden Valley Lake, CA",earthquake,0.3,0.62,0.2,23,automatic,nc,nc
2018-04-12T01:33:21.400Z,36.2825,-97.501,6.89,2.7,mb_lg,,27,0.216,0.37,us,us2000dyjk,2018-04-12T21:22:35.018Z,"19km W of Perry, Oklahoma",earthquake,1.2,6.5,0.07,53,reviewed,us,us
2018-04-10T22:19:05.770Z,36.2191,-97.3387,5,2.6,mb_lg,,51,0.093,0.32,us,us2000dxtj,2018-04-11T03:11:56.397Z,"9km SSW of Perry, Oklahoma",earthquake,1,1.8,0.142,13,reviewed,us,us
2018-04-10T15:49:10.330Z,41.401,-100.1575,5,3.1,mb_lg,,61,1.335,0.26,us,us2000dxjt,2018-04-18T13:50:04.040Z,"30km ESE of Stapleton, Nebraska",earthquake,2.5,2,0.055,86,reviewed,us,us
2018-04-10T13:23:06.320Z,34.1381667,-117.4238333,4.05,3.01,ml,166,12,0.03393,0.21,ci,ci37912351,2018-04-17T19:35:21.040Z,"6km NE of Fontana, CA",earthquake,0.1,0.26,0.172,296,reviewed,ci,ci
