I_D,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
2487,2005,3,28,16,9,36.5,4,1,30,8.7,INDONESIA,,INDONESIA,2.085,97.108,60,4.2,,,,,10,1,,,,,,1,,,,,1313,4,,,340,3,,4,300,3,,
2507,2005,4,10,10,29,11.2,4,1,19,6.7,INDONESIA,,KEPULAUAN MENTAWAI,-1.644,99.607,60,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2875,2006,3,14,6,57,33.8,4,1,30,6.7,INDONESIA,,SERAM ISLAND,-3.595,127.214,83,3.5,,,,,4,1,,,,,,2,241,3,,,4,1,,,,,1,2,241,3,,
2832,2006,7,17,8,19,28.7,4,1,34,7.7,INDONESIA,,SOUTH OF JAVA,-9.254,107.411,60,20.9,,,,,802,3,498,3,,,55,4,1623,4,,,802,3,,,498,3,55,4,1623,4,,
3228,2007,9,12,11,10,26.8,4,1,34,8.4,INDONESIA,,SUMATRA,-4.438,101.367,60,5,,,,,,,,,,,,1,,,,2,25,1,,,161,3,,3,56425,4,,
3382,2008,2,25,8,36,33,4,1,25,6.5,INDONESIA,,SUMATRA,-2.486,99.972,60,0.12,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2
3623,2008,11,16,17,2,32.7,4,1,30,7.3,INDONESIA,,SULAWESI,1.271,122.091,83,0.13,,,,,,,,,,,,,,,,,6,1,,,77,2,,3,,,1000,3
3647,2009,1,3,19,43,50.6,4,1,17,7.6,INDONESIA,,NEAR NORTH COAST,-0.414,132.885,83,0.39,,,,,,,,,,,,,,,,,5,1,,,250,3,,3,,,840,3
3649,2009,1,3,22,33,40.2,3,1,23,7.3,INDONESIA,,NEAR NORTH COAST,-0.691,133.305,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3692,2009,2,11,17,34,50.8,4,1,22,7.2,INDONESIA,,CELEBES SEA,3.884,126.397,83,0.13,,,,,,,,,,,,,,,,,,,,,64,2,,2,,,597,3
4482,2009,8,16,7,38,21.7,4,1,20,6.7,INDONESIA,,SUMATRA,-1.479,99.49,60,0.18,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,
4441,2009,9,30,10,16,9.2,4,1,81,7.5,INDONESIA,,SUMATRA,-0.72,99.867,60,0.27,,,,,,,,,,,,,,,,,1117,4,,,1214,4,2200,4,,3,181665,4
4763,2010,4,6,22,15,1.5,4,1,31,7.8,INDONESIA,,SUMATRA,2.383,97.048,60,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5342,2010,10,25,14,42,22,4,1,20,7.8,INDONESIA,,SUMATRA,-3.487,100.082,60,16.9,,,,,431,3,,,,,39,4,700,3,,,431,3,,,,,39,4,700,3,,
